rank,stadium,capacity,region,country,city,images,home_team,location
192,Hampden Park,51866,Europe,Scotland,Glasgow,https://upload.wikimedia.org/wikipedia/commons/thumb/d/dc/Hampden_Park%2C_January_2023.jpg/250px-Hampden_Park%2C_January_2023.jpg,"Scotland national football team, Queen's Park","[55.826014, -4.2519271]"
193,Estadio Monumental de Maturín,51796,South America,Venezuela,Maturín,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8d/Monumental_de_maturin_3.jpg/250px-Monumental_de_maturin_3.jpg,Monagas Sport Club,"[9.7422774, -63.1888854]"
194,Loftus Versfeld Stadium,51762,Africa,South Africa,"Pretoria, Gauteng",https://upload.wikimedia.org/wikipedia/commons/thumb/6/6c/Loftus_Versfeld_Game_Night.JPG/250px-Loftus_Versfeld_Game_Night.JPG,SuperSport United and Vodacom Pretoria Bulls,"[-25.7532347, 28.2229327]"
195,Aviva Stadium,51700,Europe,Ireland,Dublin,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/Aviva_Stadium_Panoramic.jpg/250px-Aviva_Stadium_Panoramic.jpg,"Leinster Rugby, Republic of Ireland national football team, Ireland national rugby union team","[53.3352254, -6.2281851]"
196,Guiyang Olympic Sports Centre Stadium,51638,East Asia,China,"Guiyang, Guizhou",https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/Guiyang_Olympic_Sports_Center.jpg/250px-Guiyang_Olympic_Sports_Center.jpg,,"[26.6206664, 106.6058467]"
197,Hohhot City Stadium,51632,East Asia,China,"Hohhot, Inner Mongolia",https://upload.wikimedia.org/wikipedia/commons/thumb/5/57/Hohhot_City_Stadium.jpg/250px-Hohhot_City_Stadium.jpg,,"[40.8511397, 111.6504625]"
198,Rajamangala National Stadium,51552,Southeast Asia,Thailand,Bangkok,https://upload.wikimedia.org/wikipedia/commons/thumb/0/06/Rajamangala_Stadium_Panorama.jpg/250px-Rajamangala_Stadium_Panorama.jpg,Thailand national football team,"[13.7554291, 100.6221559]"
199,Donbas Arena,51504,Europe,Ukraine,Donetsk,https://upload.wikimedia.org/wikipedia/en/thumb/8/8c/Donbass_Arena.jpg/250px-Donbass_Arena.jpg,,"[48.0211038, 37.8090531]"
200,İzmir Atatürk Stadyumu,51295,West Asia,Turkey,İzmir,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ec/%C4%B0zmir_Atat%C3%BCrk_Stadyumu.jpg/250px-%C4%B0zmir_Atat%C3%BCrk_Stadyumu.jpg,"Altay SK, Göztepe AŞ","[38.4349835, 27.1780113]"
201,Stadion Feijenoord,51117,Europe,Netherlands,Rotterdam,https://upload.wikimedia.org/wikipedia/commons/thumb/8/89/Rotterdam_De_Kuip_1.jpg/250px-Rotterdam_De_Kuip_1.jpg,Feyenoord,"[51.8938646, 4.5232281]"
202,Estadio BBVA,51000,North America,Mexico,Monterrey,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f9/Estadio_BBVA.jpg/250px-Estadio_BBVA.jpg,CF Monterrey,"[25.6691103, -100.2443559]"
203,Ghadir Stadium,51000,West Asia,Iran,Ahvaz,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Al-Ghadeer_Stadium.jpg/250px-Al-Ghadeer_Stadium.jpg,Foolad FC,"[31.3230637, 48.67932]"
204,Estádio José Pinheiro Borda,50942,South America,Brazil,Porto Alegre. Rio Grande do Sul,https://upload.wikimedia.org/wikipedia/commons/thumb/3/31/Beira-Rio-Stadium-Porto-Alegre-Brazil.jpg/250px-Beira-Rio-Stadium-Porto-Alegre-Brazil.jpg,SC Internacional,"[-30.0654898, -51.2349178]"
205,Ibrox Stadium,50817,Europe,Scotland,Glasgow,https://upload.wikimedia.org/wikipedia/commons/thumb/4/41/Rangers-SM_%281%29.jpg/250px-Rangers-SM_%281%29.jpg,Rangers FC,"[55.8532206, -4.3093239]"
206,Shizuoka Stadium,50889,East Asia,Japan,"Fukuroi, Shizuoka",https://upload.wikimedia.org/wikipedia/commons/thumb/d/d7/Ecopa030304.jpg/250px-Ecopa030304.jpg,"Júbilo Iwata, Shimizu S-Pulse, Shizuoka Blue Revs","[34.7434304, 137.9707289]"
207,Ernst-Happel-Stadion,50865,Europe,Austria,Vienna,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/EM_2008_Elfmeter_Kroatien_%C3%96sterreich.jpg/250px-EM_2008_Elfmeter_Kroatien_%C3%96sterreich.jpg,Austria national football team,"[48.2071894, 16.4209171]"
208,Huntington Bank Stadium,50805,North America,United States,Minneapolis,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cf/MNUFCTCF.jpeg/250px-MNUFCTCF.jpeg,Minnesota Golden Gophers football,"[44.9765396, -93.2240767]"
209,Hocine Ait Ahmed Stadium,50766,Africa,Algeria,Tizi Ouzou,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e2/Tizi_Ouzou_Stadium_at_night.jpg/250px-Tizi_Ouzou_Stadium_at_night.jpg,JS Kabylie,"[36.7291289, 4.0126574]"
210,Estadio Cuauhtémoc,50754,North America,Mexico,Puebla,https://upload.wikimedia.org/wikipedia/commons/thumb/2/24/Rampa_norte.jpg/250px-Rampa_norte.jpg,Puebla FC,"[19.0780538, -98.1643653]"
211,Strawberry Arena,50653,Europe,Sweden,Solna,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2b/FriendsArena_SwedenSpain.jpg/250px-FriendsArena_SwedenSpain.jpg,"Sweden men's national football team, AIK Fotboll","[59.3725039, 18.0016672]"
212,Ülker Stadyumu,50509,West Asia,Turkey,Istanbul,https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/Sukrusaracoglu.jpg/250px-Sukrusaracoglu.jpg,Fenerbahçe,"[40.9875806, 29.0369773]"
213,Stanford Stadium,50424,North America,United States,"Palo Alto, California",https://upload.wikimedia.org/wikipedia/commons/thumb/d/da/2008-1115-006-USC-Stanford-PAN.jpg/250px-2008-1115-006-USC-Stanford-PAN.jpg,,"[37.4345264, -122.1619867]"
214,Stade Pierre-Mauroy,50186,Europe,France,Villeneuve-d'Ascq,https://upload.wikimedia.org/wikipedia/commons/thumb/9/90/Mauroy_Stadium_Eurobasket_2015.JPG/250px-Mauroy_Stadium_Eurobasket_2015.JPG,Lille OSC,"[50.6119044, 3.130508]"
215,Stade Roi Baudouin,50122,Europe,Belgium,Brussels,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Stade_Roi_Baudouin.JPG/250px-Stade_Roi_Baudouin.JPG,Belgium national football team,"[50.8957221, 4.3341279]"
216,Shaanxi Province Stadium,50100,East Asia,China,"Xi'an, Shaanxi",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,,"[34.2340542, 108.9365826]"
217,Ajinomoto Stadium,50100,East Asia,Japan,"Chofu, Tokyo",https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Ajinomoto_Stadium_2018-13.jpg/250px-Ajinomoto_Stadium_2018-13.jpg,"FC Tokyo, Tokyo Verdy, Tokyo Sungoliath, Toshiba Brave Lupus Tokyo","[35.6641865, 139.5270752]"
218,Estádio José Alvalade,50095,Europe,Portugal,Lisbon,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cc/Alvalade0023.jpg/250px-Alvalade0023.jpg,Sporting CP,"[38.7612164, -9.1607831]"
219,Estádio do Dragão,50033,Europe,Portugal,Porto,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b8/Porto_Est%C3%A1dio_do_Drag%C3%A3o_2.jpg/250px-Porto_Est%C3%A1dio_do_Drag%C3%A3o_2.jpg,FC Porto,"[41.1618235, -8.5837492]"
220,Casa de Apostas Arena Fonte Nova,50025,South America,Brazil,"Salvador, Bahia",https://upload.wikimedia.org/wikipedia/commons/thumb/3/35/Arena_Fonte_Nova_External_View.jpg/250px-Arena_Fonte_Nova_External_View.jpg,EC Bahia,"[-12.9787926, -38.5035601]"
221,Stade Tata Raphaël,50000,Africa,DR Congo,Kinshasa,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"AS Vita Club, DC Motema Pembe","[-4.3379266, 15.3226297]"
222,Stade Olympique de Sousse,50000,Africa,Tunisia,Sousse,https://upload.wikimedia.org/wikipedia/commons/thumb/b/be/Stade_olympique_de_Sousse.jpg/250px-Stade_olympique_de_Sousse.jpg,Étoile du Sahel,"[35.8234702, 10.6135481]"
223,RheinEnergieSTADION,50000,Europe,Germany,Cologne,https://upload.wikimedia.org/wikipedia/commons/thumb/8/82/FIFA_WM06_Stadion_Koeln.jpg/250px-FIFA_WM06_Stadion_Koeln.jpg,1. FC Köln,"[50.9335055, 6.8751167]"
224,Harbin Sports City Centre Stadium,50000,East Asia,China,"Harbin, Heilongjiang",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,,"[45.7593633, 126.6276177]"
225,Greenfield International Stadium,50000,South Asia,India,Trivandrum,https://upload.wikimedia.org/wikipedia/commons/thumb/3/35/Greenfield_International_Stadium_Kerala.jpg/250px-Greenfield_International_Stadium_Kerala.jpg,,"[8.5723164, 76.8847502]"
226,EMS Stadium,50000,South Asia,India,Kozhikode,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/Kozhikode_EMS_Stadium.jpg/250px-Kozhikode_EMS_Stadium.jpg,"India national football team, Gokulam Kerala FC","[11.2563999, 75.7856251]"
227,KD Singh Babu Stadium,50000,South Asia,India,Lucknow,https://upload.wikimedia.org/wikipedia/commons/thumb/6/60/K_D_Singh_Babu_Stadium.jpg/250px-K_D_Singh_Babu_Stadium.jpg,,"[26.8553535, 80.9376841]"
228,Eden Park,50000,Oceania,New Zealand,Auckland,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e6/Auckland_EdenPark.jpg/250px-Auckland_EdenPark.jpg,"Auckland Blues, New Zealand Warriors","[-36.8750352, 174.7440567]"
229,Estádio 11 de Novembro,50000,Africa,Angola,Luanda,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6b/Football_stadium_%286178263468%29.jpg/250px-Football_stadium_%286178263468%29.jpg,"Angola national football team, Primeiro de Agosto, Petro Luanda","[-8.969921, 13.2835311]"
230,Henan Provincial Stadium,50000,East Asia,China,"Zhengzhou, Henan",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,,"[34.8374127, 113.6228562]"
231,Jiangxi Olympic Sports Center,50000,East Asia,China,"Nanchang, Jiangxi",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,,"[28.6472124, 116.0348483]"
232,Max-Morlock-Stadion,50000,Europe,Germany,Nuremberg,https://upload.wikimedia.org/wikipedia/commons/thumb/1/15/Frankenstadion_2.JPG/250px-Frankenstadion_2.JPG,1. FC Nürnberg,"[49.4262569, 11.1256706]"
233,June 11 Stadium,50000,Africa,Libya,Tripoli,https://upload.wikimedia.org/wikipedia/commons/thumb/7/77/11_June_Stadium_BenTaher.jpg/250px-11_June_Stadium_BenTaher.jpg,"Libya, Al-Ahly SC, Al-Ittihad Tripoli, Al-Madina SC","[32.8598956, 13.135806]"
234,Xinjiang Sports Centre Stadium,50000,East Asia,China,"Urumqi, Xinjiang",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,,"[43.8244074, 87.6139038]"
235,Kim Il-sung Stadium,50000,East Asia,North Korea,Pyongyang,https://upload.wikimedia.org/wikipedia/commons/thumb/3/39/North_Korea_v_Philippines%2C_8_October_2015_F.png/250px-North_Korea_v_Philippines%2C_8_October_2015_F.png,Pyongyang City Sports Club,"[39.0438585, 125.7577377]"
236,EDION Stadium Hiroshima,50000,East Asia,Japan,Hiroshima,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3e/Big_Arch_Stadium_Panorama.jpg/250px-Big_Arch_Stadium_Panorama.jpg,Sanfrecce Hiroshima,"[34.4015066, 132.4545843]"
237,Pars Shiraz Stadium,50000,West Asia,Iran,Shiraz,https://upload.wikimedia.org/wikipedia/commons/thumb/b/be/Pars_Stadium_Photos_Image_6.jpg/250px-Pars_Stadium_Photos_Image_6.jpg,Fajr Sepasi Shiraz FC,"[29.6060218, 52.5378041]"
238,Stade du 26 mars,50000,Africa,Mali,Bamako,https://upload.wikimedia.org/wikipedia/commons/thumb/1/10/Stade_du_26-mars.png/250px-Stade_du_26-mars.png,Stade Malien,"[12.6043766, -7.9217374]"
239,Stade Abdoulaye Wade,50000,Africa,Senegal,Dakar,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,Senegal national football team,"[14.7327571, -17.2014923]"
240,Sultan Mizan Zainal Abidin Stadium,50000,Southeast Asia,Malaysia,Kuala Terengganu,https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Sultan_Mizan_Zainal_Abidin_Stadium_%28Night%29_2021.jpg/250px-Sultan_Mizan_Zainal_Abidin_Stadium_%28Night%29_2021.jpg,Terengganu FA,"[5.3697135, 103.1056812]"
241,Estadio Akron,49850,North America,Mexico,Guadalajara,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f1/Omnilife_Stadium.png/250px-Omnilife_Stadium.png,C.D. Guadalajara,"[20.6818469, -103.4626718]"
242,Levy Mwanawasa Stadium,49800,Africa,Zambia,Lusaka,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,Zesco United,"[-12.9755312, 28.6112268]"
243,Fritz-Walter-Stadion,49780,Europe,Germany,Kaiserslautern,https://upload.wikimedia.org/wikipedia/commons/thumb/1/18/Kaiserslautern_18.JPG/250px-Kaiserslautern_18.JPG,1. FC Kaiserslautern,"[49.4345765, 7.7766303]"
244,Estadio José Amalfitani,49540,South America,Argentina,Buenos Aires,https://upload.wikimedia.org/wikipedia/commons/thumb/3/33/Argentina_A_vs_Inglaterra_A_02.JPG/250px-Argentina_A_vs_Inglaterra_A_02.JPG,CA Vélez Sársfield,"[-34.6353382, -58.5206788]"
245,Camille Chamoun Sports City Stadium,49500,West Asia,Lebanon,Beirut,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a8/Camille_Chamoun_Sports_City_Stadium_2018_-_Beirut_derby_%28Nejmeh_fans%29.png/250px-Camille_Chamoun_Sports_City_Stadium_2018_-_Beirut_derby_%28Nejmeh_fans%29.png,"Lebanon national football team, Al Ahed FC, Al Ansar FC, Nejmeh SC","[33.8670781, 35.4951176]"
246,Miyagi Stadium,49133,East Asia,Japan,"Rifu, Miyagi",https://upload.wikimedia.org/wikipedia/commons/thumb/9/9b/MiyagiStadiumTrackField.jpg/250px-MiyagiStadiumTrackField.jpg,Vegalta Sendai,"[38.3353606, 140.9504567]"
247,Incheon Munhak Stadium,49084,East Asia,South Korea,Incheon,https://upload.wikimedia.org/wikipedia/commons/thumb/d/df/Munhak_Stadium_Corner.jpg/250px-Munhak_Stadium_Corner.jpg,,"[37.4350773, 126.6907516]"
248,Heinz-von-Heiden-Arena,49000,Europe,Germany,Hanover,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9e/HDI_Arena%2C_WM_Stadion_2006.jpg/250px-HDI_Arena%2C_WM_Stadion_2006.jpg,Hannover 96,"[52.360026, 9.7310161]"
249,Parc des Princes,48712,Europe,France,Paris,https://upload.wikimedia.org/wikipedia/commons/thumb/8/89/PSG-Nantes_Parc_des_Princes_05.jpg/250px-PSG-Nantes_Parc_des_Princes_05.jpg,Paris Saint-Germain,"[48.8413634, 2.2530693]"
250,Stadium of Light,48707,Europe,England,"Sunderland, Tyne and Wear",https://upload.wikimedia.org/wikipedia/commons/thumb/7/7d/Stadium_of_Light%2C_Sunderland_afc.jpg/250px-Stadium_of_Light%2C_Sunderland_afc.jpg,Sunderland AFC,"[54.9143953, -1.3882579]"
251,Estadio Nacional,48665,South America,Chile,Santiago,https://upload.wikimedia.org/wikipedia/commons/thumb/1/15/Adios_Matador.jpg/250px-Adios_Matador.jpg,"Chile national football team, CF Universidad de Chile","[-33.4623809, -70.6062176]"
252,Nelson Mandela Bay Stadium,48459,Africa,South Africa,"Port Elizabeth, Eastern Cape",https://upload.wikimedia.org/wikipedia/commons/thumb/9/9b/Nelson_Mandela_Stadium_in_Port_Elizabeth_%28cropped%29.jpg/250px-Nelson_Mandela_Stadium_in_Port_Elizabeth_%28cropped%29.jpg,Chippa United FC,"[-33.937792, 25.5994087]"
253,Estadio Tomás Adolfo Ducó,48314,South America,Argentina,Buenos Aires,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Estadio_huracan_interior_tribuna_gcba.jpg/250px-Estadio_huracan_interior_tribuna_gcba.jpg,CA Huracán,"[-34.6434539, -58.3965026]"
254,Jinnah Sports Stadium,48200,South Asia,Pakistan,Islamabad,https://upload.wikimedia.org/wikipedia/commons/thumb/1/12/Jinnah_Sports_Stadium_track_and_field.jpg/250px-Jinnah_Sports_Stadium_track_and_field.jpg,Pakistan national football team,"[33.7004059, 73.0928604]"
255,Estadio Libertadores de América,48069,South America,Argentina,Avellaneda,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Estadio_Libertadores_de_America_2014.JPG/250px-Estadio_Libertadores_de_America_2014.JPG,Club Atlético Independiente,"[-34.6702227, -58.3710378]"
256,Free State Stadium,48000,Africa,South Africa,"Bloemfontein, Free State",https://upload.wikimedia.org/wikipedia/commons/thumb/9/9e/Free_State_Stadium1.jpg/250px-Free_State_Stadium1.jpg,"Bloemfontein Celtic, Toyota Cheetahs","[-29.1172351, 26.2087696]"
257,Nagai Stadium,47816,East Asia,Japan,Osaka,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3e/Nagai_stadium20040717.jpg/250px-Nagai_stadium20040717.jpg,"Cerezo Osaka, NTT DoCoMo Red Hurricanes Osaka","[34.6153577, 135.5165441]"
258,Neo Química Arena,47605,South America,Brazil,"São Paulo, São Paulo",https://upload.wikimedia.org/wikipedia/commons/thumb/6/64/Corinthians_x_Gr%C3%AAmio_-_Brasileir%C3%A3o_2016.jpg/250px-Corinthians_x_Gr%C3%AAmio_-_Brasileir%C3%A3o_2016.jpg,Corinthians,"[-23.5453328, -46.4743055]"
259,Rogers Centre,47568,North America,Canada,"Toronto, Ontario",https://upload.wikimedia.org/wikipedia/commons/thumb/7/79/Toronto_-_ON_-_Rogers_Centre2.jpg/250px-Toronto_-_ON_-_Rogers_Centre2.jpg,"Toronto FC, Toronto Argonauts","[43.6416598, -79.3891976]"
260,Estadio Monumental,47347,South America,Chile,Santiago,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0e/Estadio_Monumental_2009.jpg/250px-Estadio_Monumental_2009.jpg,Colo-Colo,"[-33.5064372, -70.6059468]"
261,Stadio Artemio Franchi,47282,Europe,Italy,Florence,https://upload.wikimedia.org/wikipedia/commons/thumb/a/aa/Soccer_in_Florence%2C_Italy%2C_2007.jpg/250px-Soccer_in_Florence%2C_Italy%2C_2007.jpg,ACF Fiorentina,"[43.3216867, 11.326179]"
262,Estadio Ciudad de Lanús – Néstor Díaz Pérez,47027,South America,Argentina,Lanús,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1e/Editat%C3%B3n_Club_Lan%C3%BAs_-_Instalaciones_%288%29.JPG/250px-Editat%C3%B3n_Club_Lan%C3%BAs_-_Instalaciones_%288%29.JPG,CA Lanús,"[-34.7176585, -58.3839562]"
263,Estadio Metropolitano Roberto Meléndez,46788,South America,Colombia,Barranquilla,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b0/Estadio_Metropolitano_de_Baranquilla_2011.jpg/250px-Estadio_Metropolitano_de_Baranquilla_2011.jpg,"Colombia national football team, Atlético Junior","[10.9269548, -74.8005111]"
264,Estádio Olímpico Nilton Santos,46831,South America,Brazil,"Rio de Janeiro, Rio de Janeiro",https://upload.wikimedia.org/wikipedia/commons/thumb/a/a8/Est%C3%A1dio_Municipal_Jo%C3%A3o_Havelange_14072007.jpg/250px-Est%C3%A1dio_Municipal_Jo%C3%A3o_Havelange_14072007.jpg,Botafogo FR,"[-22.893194, -43.2935691]"
265,Itaipava Arena Pernambuco,46154,South America,Brazil,"São Lourenço da Mata, Pernambuco",https://upload.wikimedia.org/wikipedia/commons/thumb/6/62/Panorama_of_Arena_Pernambuco.jpg/250px-Panorama_of_Arena_Pernambuco.jpg,Náutico,"[-8.0407296, -35.0082334]"
266,Arena MRV,46000,South America,Brazil,"Belo Horizonte, Minas Gerais",https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Arena_MRV_em_obras_vista_da_Via_Expressa_%28dezembro_de_2022%29.jpg/250px-Arena_MRV_em_obras_vista_da_Via_Expressa_%28dezembro_de_2022%29.jpg,C Atlético Mineiro,"[-19.9300116, -44.0138813]"
267,Estádio Paulo Constantino,45954,South America,Brazil,"Presidente Prudente, São Paulo",https://upload.wikimedia.org/wikipedia/commons/thumb/c/c0/Derby_Paulista_%28Corinthians-Palmeiras%29_Paulist%C3%A3o_2009.jpg/250px-Derby_Paulista_%28Corinthians-Palmeiras%29_Paulist%C3%A3o_2009.jpg,Grêmio Prudente,"[-22.098568, -51.4150621]"
268,Estadio Atanasio Girardot,45739,South America,Colombia,Medellín,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4a/Atanasio_Girardot_Stadium.jpg/250px-Atanasio_Girardot_Stadium.jpg,"Atlético Nacional, Independiente Medellín","[6.2568267, -75.5901467]"
269,Estadio Ramón Sánchez Pizjuán,45500,Europe,Spain,Seville,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Sevilla2-1Lega20182.jpg/250px-Sevilla2-1Lega20182.jpg,Sevilla FC,"[37.3840876, -5.9706309]"
270,Adrar Stadium,45480,Africa,Morocco,Agadir,https://upload.wikimedia.org/wikipedia/commons/thumb/5/51/Stade-Adrar2019.png/250px-Stade-Adrar2019.png,"Hassania Agadir, Morocco national team","[30.4274409, -9.540254]"
271,Lukoil Arena,45360,Europe,Russia,Moscow,https://upload.wikimedia.org/wikipedia/commons/thumb/6/62/Match_veteranov_Spartaka_%2813%29.jpg/250px-Match_veteranov_Spartaka_%2813%29.jpg,Spartak Moscow,"[55.8175885, 37.4406099]"
272,Grand stade de Marrakech,45240,Africa,Morocco,Marrakesh,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0d/Stade_de_marrakech.jpg/250px-Stade_de_marrakech.jpg,"Kawkab Marrakech, Morocco national team","[31.7069985, -7.9803776]"
273,Mandela National Stadium,45202,Africa,Uganda,Kampala,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Mandela_National_Stadium%2C_Uganda.JPG/250px-Mandela_National_Stadium%2C_Uganda.JPG,Uganda national football team,"[0.347296, 32.6588544]"
274,Tarczyński Arena Wrocław,45105,Europe,Poland,Wrocław,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a3/Wroc%C5%82aw_Municipal_Stadium_-_Euro_2012_%28panorama%29.jpg/250px-Wroc%C5%82aw_Municipal_Stadium_-_Euro_2012_%28panorama%29.jpg,Śląsk Wrocław,"[51.1411861, 16.9438067]"
275,Kazan Arena,45105,Europe,Russia,Kazan,https://upload.wikimedia.org/wikipedia/commons/thumb/5/56/Poland_v._Colombia_%2842095441565%29.jpg/250px-Poland_v._Colombia_%2842095441565%29.jpg,Rubin Kazan,"[55.8231854, 49.164033]"
276,Estadio Inca Garcilaso de la Vega,45056,South America,Peru,Cusco,https://upload.wikimedia.org/wikipedia/commons/thumb/1/10/Estadio_garcilaso_cienciano.jpg/250px-Estadio_garcilaso_cienciano.jpg,"CS Cienciano, Deportivo Garcilaso, Cusco FC","[-13.5255188, -71.9664761]"
277,24 February 1956 Stadium,45000,Africa,Algeria,Sidi Bel Abbès,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b1/Stade_24_F%C3%A9vrier_1956.jpg/250px-Stade_24_F%C3%A9vrier_1956.jpg,USM Bel Abbès,"[34.682268, -0.4357555]"
278,Estádio da Machava,45000,Africa,Mozambique,Maputo,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,Mozambique national football team,"[-25.9174099, 32.5263788]"
279,Stadion Gelora Bung Tomo,45000,Southeast Asia,Indonesia,"Surabaya, East Java",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,Persebaya Surabaya,"[-7.2231559, 112.6227833]"
280,Stadion Harapan Banga,45000,Southeast Asia,Indonesia,"Banda Aceh, Aceh",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"Persiraja, Aceh United","[5.5528455, 95.3192908]"
281,Estadio General Pablo Rojas,45000,South America,Paraguay,Asunción,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c4/Estadio_General_Pablo_Rojas.jpg/250px-Estadio_General_Pablo_Rojas.jpg,Club Cerro Porteño,"[-25.2999926, -57.6376558]"
282,Latakia Sports City Stadium,45000,West Asia,Syria,Latakia,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,,"[35.5200185, 35.7781044]"
283,Zibo Sports Centre Stadium,45000,East Asia,China,"Zibo, Shandong",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,,"[36.8132476, 117.9828384]"
284,Weifang Sports Centre Stadium,45000,East Asia,China,"Weifang, Shandong",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,,"[36.7290476, 119.0630983]"
285,Yantai Sports Park Stadium,45000,East Asia,China,"Yantai, Shandong",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,,"[37.462892, 121.4535599]"
286,Stadium Tuanku Abdul Rahman,45000,Southeast Asia,Malaysia,Seremban,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f5/Stadium_Tuanku_Abdul_Rahman%2C_Paroi.jpg/250px-Stadium_Tuanku_Abdul_Rahman%2C_Paroi.jpg,"ATM FA, Negeri Sembilan","[2.7262398, 101.9826177]"
287,Stade du Complexe sportif de Fès,45000,Africa,Morocco,Fes,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1c/Complexe_sportif_de_F%C3%A8s.jpg/250px-Complexe_sportif_de_F%C3%A8s.jpg,"Wydad de Fès, Maghreb de Fès, Morocco national team","[34.00272, -4.9689618]"
288,Lagos National Stadium,45000,Africa,Nigeria,Lagos,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,Nigeria national football team,"[6.4971425, 3.364988]"
289,Egyptian Army Stadium,45000,Africa,Egypt,Suez,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,,"[29.974498, 32.537086]"
290,Toyota Stadium,45000,East Asia,Japan,"Toyota City, Aichi",https://upload.wikimedia.org/wikipedia/commons/thumb/5/58/JPNxGEO20180623_%283%29.jpg/250px-JPNxGEO20180623_%283%29.jpg,"Nagoya Grampus, Toyota Verblitz","[35.0845879, 137.1708735]"
291,Zayed Sports City Stadium,45000,West Asia,United Arab Emirates,Abu Dhabi,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a7/Abu_Dhabi_Zayed_Sports_City_Stadium_2.jpg/250px-Abu_Dhabi_Zayed_Sports_City_Stadium_2.jpg,,"[24.4161286, 54.45363]"
292,Red Bull Arena,44345,Europe,Germany,Leipzig,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ca/Leipzig_stadium.jpg/250px-Leipzig_stadium.jpg,RB Leipzig,"[51.3457078, 12.3482361]"
